"table","variable","label","class","n_missing","pct_missing","n_unique"
"DR1TOT_L","DRQSDT1","Weight loss/Low calorie diet","numeric",8413,95,2
"DR1TOT_L","DRQSDT2","Low fat/Low cholesterol diet","numeric",8790,99.2,2
"DR1TOT_L","DRQSDT3","Low salt/Low sodium diet","numeric",8764,98.9,2
"DR1TOT_L","DRQSDT4","Sugar free/Low sugar diet","numeric",8816,99.5,2
"DR1TOT_L","DRQSDT5","Low fiber diet","numeric",8858,100,2
"DR1TOT_L","DRQSDT6","High fiber diet","numeric",8853,99.9,2
"DR1TOT_L","DRQSDT7","Diabetic diet","numeric",8767,99,2
"DR1TOT_L","DRQSDT8","Weight gain/Muscle building diet","numeric",8833,99.7,2
"DR1TOT_L","DRQSDT9","Low carbohydrate diet","numeric",8790,99.2,2
"DR1TOT_L","DRQSDT10","High protein diet","numeric",8827,99.6,2
"DR1TOT_L","DRQSDT11","Gluten-free/Celiac diet","numeric",8828,99.6,2
"DR1TOT_L","DRQSDT12","Renal/Kidney diet","numeric",8847,99.9,2
"DR1TOT_L","DRQSDT91","Other special diet","numeric",8712,98.3,2
"DR1TOT_L","DR1TNUMF","Number of foods/beverages reported","numeric",2106,23.8,45
"DR1TOT_L","DR1TKCAL","Energy (kcal)","numeric",2166,24.4,2761
"DR1TOT_L","DR1TPROT","Protein (gm)","numeric",2166,24.4,5935
"DR1TOT_L","DR1TCARB","Carbohydrate (gm)","numeric",2166,24.4,6418
"DR1TOT_L","DR1TSUGR","Total sugars (gm)","numeric",2166,24.4,6201
"DR1TOT_L","DR1TFIBE","Dietary fiber (gm)","numeric",2166,24.4,1179
"DR1TOT_L","DR1TTFAT","Total fat (gm)","numeric",2166,24.4,6032
"DR1TOT_L","DR1TSFAT","Total saturated fatty acids (gm)","numeric",2166,24.4,6498
"DR1TOT_L","DR1TMFAT","Total monounsaturated fatty acids (gm)","numeric",2166,24.4,6485
"DR1TOT_L","DR1TPFAT","Total polyunsaturated fatty acids (gm)","numeric",2166,24.4,6420
"DR1TOT_L","DR1TCHOL","Cholesterol (mg)","numeric",2166,24.4,991
"DR1TOT_L","DR1TATOC","Vitamin E as alpha-tocopherol (mg)","numeric",2166,24.4,3477
